STATIONNAME,STATIONARRONDISSEMENT,LATITUDE,LONGITUDE,STATION_ID
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),Côte-des-Neiges - Notre-Dame-de-Grâce,45.49624140543275,-73.62983867526054,179
Sherbrooke / Jeanne-d'Arc,Rosemont - La Petite-Patrie,45.55398156058887,-73.55496388156098,180
CHSLD Robert Cliche (de Bellechasse / 16e avenue),Rosemont - La Petite-Patrie,45.557568,-73.579191,181
de la Commune / Berri,Ville-Marie,45.51086,-73.54983,182
CCI Outremont (Dollard / Ducharme),Outremont,45.52001910239163,-73.61890733242035,183
Parc MacDonald (Clanranald / Isabella),Côte-des-Neiges - Notre-Dame-de-Grâce,45.482741483803686,-73.6347082843349,184
Métro Verdun (Willibrord / de Verdun),Verdun,45.45944220460236,-73.57252441513992,185
Argyle / Bannantyne,Verdun,45.453318765468914,-73.5767751932144,186
Métro Henri-Bourassa (Henri-Bourassa / Millen),Ahuntsic-Cartierville,45.55675103297278,-73.66716161370277,187
Fortune / Wellington,Le Sud-Ouest,45.477923,-73.559038,188
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50363996257211,-73.6182689666748,189
Duke / Nazareth,Ville-Marie,45.49572236030835,-73.55461344122887,190
de la Côte St-Paul / St-Ambroise,Le Sud-Ouest,45.46766565386597,-73.59391784324544,191
Van Horne / Dollard,Outremont,45.519289531219506,-73.61618220806122,192
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.51401222645779,-73.56598667800426,193
Lanouette / de l'Église,Verdun,45.46337393327436,-73.57683420181274,194
St-Rémi / Ste-Émilie,Le Sud-Ouest,45.46976497412213,-73.58923405408859,195
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.47302318351006,-73.58503722109162,196
HEC (Decelles / Jean-Brillant),Côte-des-Neiges - Notre-Dame-de-Grâce,45.49772282989976,-73.61925333738327,197
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,45.54131350328531,-73.5537427291274,198
